folio,depto,area,s07a_01,s07a_02,s07a_02e,s07a_03,s07a_03e,s07a_03a,s07a_04,s07a_05,s07a_06,s07a_06e,s07a_07,s07a_08,s07a_08e,s07a_09,s07a_09e,s07a_10,s07a_10e,s07a_11a,s07a_11b,s07a_11c,s07a_12,s07a_13,s07a_14,s07a_15,s07a_16,s07a_17,s07a_18,s07a_18e,s07a_19_1a,s07a_19_1b,s07a_19_2a,s07a_19_2b,s07a_19_3a,s07a_19_3b,s07a_19_4a,s07a_19_4ae,s07a_19_4b,s07a_20_1a,s07a_20_1b,s07a_20_2a,s07a_20_2b,s07a_20_3a,s07a_20_3b,s07a_20_4a,s07a_20_4b,s07a_20_5a,s07a_20_5ae,s07a_20_5b,s07a_21,s07a_22,s07a_22e,s07a_23,s07a_24,s07a_25,s07a_26,s07a_27,s07a_28,s07a_29,s07a_30,totper,hogar,upm,estrato,factor
354-014607-D-0131,3.0,2.0,4.0,1.0,,4.0,,NA,NA,100.0,2.0,,2.0,1.0,,1.0,,8.0,,NA,NA,NA,0.0,5.0,NA,NA,1.0,22.0,2.0,,2.0,NA,2.0,NA,2.0,NA,2.0,,NA,2.0,NA,2.0,NA,2.0,NA,2.0,NA,2.0,,NA,1.0,3.0,,30.0,2.0,0.0,2.0,NA,1.0,2.0,NA,3.0,1.0,354-014607-D,24,386.3363342285156
354-014607-D-0161,3.0,2.0,4.0,1.0,,4.0,,NA,NA,50.0,2.0,,2.0,1.0,,1.0,,8.0,,NA,NA,NA,0.0,5.0,NA,NA,1.0,17.0,2.0,,2.0,NA,2.0,NA,2.0,NA,2.0,,NA,2.0,NA,2.0,NA,2.0,NA,2.0,NA,2.0,,NA,1.0,1.0,,10.0,2.0,1.0,2.0,NA,2.0,NA,NA,2.0,1.0,354-014607-D,24,386.3363342285156
354-014607-D-0201,3.0,2.0,4.0,1.0,,3.0,,NA,NA,50.0,2.0,,2.0,1.0,,1.0,,8.0,,NA,NA,NA,0.0,5.0,NA,NA,1.0,22.0,2.0,,2.0,NA,2.0,NA,2.0,NA,2.0,,NA,2.0,NA,2.0,NA,2.0,NA,2.0,NA,2.0,,NA,1.0,1.0,,10.0,2.0,1.0,2.0,NA,1.0,2.0,NA,8.0,1.0,354-014607-D,24,386.3363342285156
354-014607-D-0241,3.0,2.0,4.0,1.0,,4.0,,NA,NA,50.0,2.0,,2.0,1.0,,1.0,,8.0,,NA,NA,NA,0.0,5.0,NA,NA,1.0,17.0,2.0,,2.0,NA,2.0,NA,2.0,NA,2.0,,NA,2.0,NA,2.0,NA,2.0,NA,2.0,NA,2.0,,NA,1.0,1.0,,10.0,2.0,1.0,2.0,NA,2.0,NA,NA,1.0,1.0,354-014607-D,24,386.3363342285156
354-014607-D-0271,3.0,2.0,4.0,1.0,,3.0,,NA,NA,50.0,2.0,,2.0,1.0,,1.0,,8.0,,NA,NA,NA,0.0,5.0,NA,NA,1.0,22.0,2.0,,2.0,NA,2.0,NA,2.0,NA,2.0,,NA,2.0,NA,2.0,NA,2.0,NA,2.0,NA,2.0,,NA,1.0,1.0,,10.0,3.0,1.0,2.0,NA,2.0,NA,NA,2.0,1.0,354-014607-D,24,386.3363342285156
354-014607-D-0311,3.0,2.0,1.0,1.0,,3.0,,NA,NA,50.0,1.0,,1.0,1.0,,5.0,,8.0,,NA,NA,NA,0.0,3.0,NA,1.0,1.0,20.0,4.0,,2.0,NA,2.0,NA,2.0,NA,2.0,,NA,2.0,NA,2.0,NA,2.0,NA,2.0,NA,2.0,,NA,1.0,3.0,,23.0,2.0,1.0,2.0,NA,1.0,2.0,NA,4.0,1.0,354-014607-D,24,386.3363342285156
354-014607-D-0341,3.0,2.0,1.0,1.0,,4.0,,NA,NA,50.0,1.0,,1.0,1.0,,5.0,,8.0,,NA,NA,NA,0.0,5.0,NA,NA,1.0,23.0,2.0,,2.0,NA,2.0,NA,2.0,NA,2.0,,NA,2.0,NA,2.0,NA,2.0,NA,2.0,NA,2.0,,NA,1.0,3.0,,23.0,3.0,1.0,2.0,NA,1.0,2.0,NA,4.0,1.0,354-014607-D,24,386.3363342285156
354-014607-D-0381,3.0,2.0,1.0,1.0,,4.0,,NA,NA,40.0,2.0,,1.0,1.0,,5.0,,8.0,,NA,NA,NA,0.0,3.0,NA,1.0,1.0,17.0,2.0,,2.0,NA,2.0,NA,2.0,NA,2.0,,NA,2.0,NA,2.0,NA,2.0,NA,2.0,NA,2.0,,NA,1.0,3.0,,23.0,1.0,0.0,2.0,NA,2.0,NA,NA,1.0,1.0,354-014607-D,24,386.3363342285156
354-014607-D-0411,3.0,2.0,1.0,1.0,,4.0,,NA,NA,30.0,2.0,,1.0,1.0,,5.0,,8.0,,NA,NA,NA,0.0,3.0,NA,1.0,1.0,17.0,2.0,,2.0,NA,2.0,NA,2.0,NA,2.0,,NA,2.0,NA,2.0,NA,2.0,NA,2.0,NA,2.0,,NA,1.0,3.0,,23.0,1.0,0.0,2.0,NA,2.0,NA,NA,2.0,1.0,354-014607-D,24,386.3363342285156
411-000096-A-0011,4.0,1.0,1.0,1.0,,3.0,,NA,NA,250.0,1.0,,1.0,1.0,,5.0,,1.0,,20.0,0.0,7.0,35.0,1.0,1.0,1.0,1.0,50.0,6.0,,2.0,NA,2.0,NA,2.0,NA,2.0,,NA,2.0,NA,2.0,NA,2.0,NA,2.0,NA,2.0,,NA,1.0,3.0,,46.0,4.0,3.0,2.0,NA,1.0,2.0,NA,5.0,1.0,411-000096-A,11,186.98458862304688
411-000096-A-0021,4.0,1.0,1.0,1.0,,3.0,,NA,NA,250.0,1.0,,1.0,1.0,,5.0,,2.0,,20.0,0.0,7.0,30.0,1.0,1.0,1.0,1.0,45.0,6.0,,2.0,NA,2.0,NA,2.0,NA,2.0,,NA,2.0,NA,2.0,NA,2.0,NA,2.0,NA,2.0,,NA,1.0,4.0,,13.0,4.0,2.0,2.0,NA,1.0,2.0,NA,3.0,1.0,411-000096-A,11,186.98458862304688
411-000096-A-0031,4.0,1.0,1.0,3.0,,NA,,NA,350.0,NA,1.0,,1.0,1.0,,5.0,,2.0,,20.0,0.0,7.0,35.0,1.0,1.0,1.0,1.0,40.0,6.0,,2.0,NA,2.0,NA,2.0,NA,2.0,,NA,2.0,NA,2.0,NA,2.0,NA,2.0,NA,2.0,,NA,1.0,3.0,,46.0,3.0,2.0,2.0,NA,1.0,2.0,NA,5.0,1.0,411-000096-A,11,186.98458862304688
411-000096-A-0041,4.0,1.0,1.0,1.0,,3.0,,NA,NA,200.0,1.0,,1.0,1.0,,5.0,,1.0,,20.0,0.0,7.0,35.0,1.0,1.0,1.0,1.0,50.0,6.0,,2.0,NA,2.0,NA,2.0,NA,2.0,,NA,2.0,NA,2.0,NA,2.0,NA,2.0,NA,2.0,,NA,1.0,4.0,,12.0,3.0,2.0,2.0,NA,1.0,2.0,NA,5.0,1.0,411-000096-A,11,186.98458862304688
411-000096-A-0061,4.0,1.0,1.0,1.0,,3.0,,NA,NA,100.0,1.0,,1.0,1.0,,5.0,,2.0,,20.0,0.0,7.0,45.0,1.0,1.0,1.0,1.0,52.0,6.0,,2.0,NA,2.0,NA,2.0,NA,2.0,,NA,2.0,NA,2.0,NA,2.0,NA,2.0,NA,2.0,,NA,2.0,3.0,,23.0,1.0,0.0,2.0,NA,2.0,NA,NA,7.0,1.0,411-000096-A,11,186.98458862304688
411-000096-A-0071,4.0,1.0,1.0,1.0,,3.0,,NA,NA,200.0,1.0,,1.0,1.0,,5.0,,2.0,,20.0,0.0,7.0,43.0,1.0,1.0,1.0,1.0,50.0,6.0,,2.0,NA,2.0,NA,2.0,NA,2.0,,NA,2.0,NA,2.0,NA,2.0,NA,2.0,NA,2.0,,NA,1.0,3.0,,23.0,3.0,2.0,2.0,NA,2.0,NA,NA,6.0,1.0,411-000096-A,11,186.98458862304688
411-000096-A-0081,4.0,1.0,1.0,1.0,,3.0,,NA,NA,200.0,1.0,,1.0,1.0,,5.0,,2.0,,20.0,0.0,7.0,43.0,1.0,1.0,1.0,1.0,46.0,6.0,,2.0,NA,2.0,NA,2.0,NA,2.0,,NA,2.0,NA,2.0,NA,2.0,NA,2.0,NA,2.0,,NA,1.0,3.0,,23.0,2.0,1.0,2.0,NA,2.0,NA,NA,4.0,1.0,411-000096-A,11,186.98458862304688
411-000096-A-0091,4.0,1.0,1.0,1.0,,3.0,,NA,NA,250.0,1.0,,1.0,1.0,,5.0,,2.0,,20.0,0.0,7.0,46.0,1.0,1.0,1.0,1.0,65.0,6.0,,2.0,NA,2.0,NA,2.0,NA,2.0,,NA,2.0,NA,2.0,NA,2.0,NA,2.0,NA,2.0,,NA,1.0,3.0,,23.0,2.0,1.0,2.0,NA,2.0,NA,NA,2.0,1.0,411-000096-A,11,186.98458862304688
411-000096-A-0101,4.0,1.0,1.0,1.0,,3.0,,NA,NA,150.0,1.0,,1.0,1.0,,5.0,,2.0,,20.0,0.0,7.0,28.0,1.0,1.0,1.0,1.0,35.0,5.0,,2.0,NA,2.0,NA,2.0,NA,2.0,,NA,2.0,NA,2.0,NA,2.0,NA,2.0,NA,2.0,,NA,1.0,4.0,,12.0,2.0,1.0,2.0,NA,2.0,NA,NA,6.0,1.0,411-000096-A,11,186.98458862304688
411-000096-A-0111,4.0,1.0,1.0,1.0,,3.0,,NA,NA,100.0,1.0,,1.0,1.0,,5.0,,2.0,,20.0,0.0,7.0,30.0,1.0,1.0,1.0,1.0,35.0,5.0,,2.0,NA,2.0,NA,2.0,NA,2.0,,NA,2.0,NA,2.0,NA,2.0,NA,2.0,NA,2.0,,NA,1.0,4.0,,10.0,2.0,1.0,2.0,NA,2.0,NA,NA,6.0,1.0,411-000096-A,11,186.98458862304688
411-000096-A-0131,4.0,1.0,1.0,1.0,,3.0,,NA,NA,300.0,1.0,,1.0,1.0,,5.0,,2.0,,20.0,0.0,7.0,28.0,1.0,1.0,2.0,1.0,30.0,6.0,,2.0,NA,2.0,NA,2.0,NA,2.0,,NA,2.0,NA,2.0,NA,2.0,NA,2.0,NA,2.0,,NA,1.0,4.0,,10.0,2.0,1.0,2.0,NA,2.0,NA,NA,6.0,1.0,411-000096-A,11,186.98458862304688
411-000096-A-0141,4.0,1.0,4.0,7.0,,NA,,NA,NA,200.0,1.0,,1.0,1.0,,5.0,,2.0,,20.0,0.0,7.0,20.0,1.0,1.0,2.0,1.0,25.0,6.0,,2.0,NA,2.0,NA,2.0,NA,2.0,,NA,2.0,NA,2.0,NA,2.0,NA,2.0,NA,2.0,,NA,1.0,3.0,,23.0,2.0,0.0,2.0,NA,2.0,NA,NA,3.0,1.0,411-000096-A,11,186.98458862304688
